title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 安山岩・玄武岩質安山岩 貫入岩	K22_vis_ai	977c5f	151	124	95	中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	火成岩	Igneous rocks	安山岩・玄武岩質安山岩 貫入岩	andesite & basaltic andesite intrusives rocks
中生代 中期ジュラ紀, 海成層 砂岩泥岩互層	J2_sosma	97d38a	151	211	138	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	海成層 砂岩泥岩互層	marine alternation of sandstone & mudstone
古生代 カンブリア紀〜オルドビス紀, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_msgul_hag	9800a0	152	0	160	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	ultramafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アプチアン期〜アルビアン期, アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩	K12_vba_al	982b83	152	43	131	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	火成岩	Igneous rocks	アルカリ玄武岩・粗面玄武岩 溶岩・火砕岩	alkalibasalt & trachybasalt lava & pytoclastic rocks
新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 玄武岩 貫入岩	Pg2_vbs_ai	984598	152	69	152	新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	火成岩	Igneous rocks	玄武岩 貫入岩	basalt intrusives rocks
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	Tr1-32_msccg_lkc	986514	152	101	20	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	conglomerate schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期, 汽水成層ないし海成・非海成混合層 泥岩	Pg1_sbm	98bec9	152	190	201	新生代 古第三紀 暁新世 ダニアン期〜始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	汽水成層ないし海成・非海成混合層 泥岩	brackish, or marine & non-marine  mixture mudstone
中生代 前期白亜紀 アプチアン期〜アルビアン期, 変成かんらん岩 低P/T型広域変成岩　カリ長石菫青石帯	K12_mrpr_lkc	9900a0	153	0	160	中生代 前期白亜紀 アプチアン期〜アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	変成岩	Metamorphic rocks	変成かんらん岩 低P/T型広域変成岩　カリ長石菫青石帯	metaperidotite Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 礫質片岩 低P/T型広域変成岩　珪線石カリ長石帯	Pg2-N121_msccg_lks	996514	153	101	20	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　珪線石カリ長石帯	conglomerate schist sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期, 海成層 泥岩	Pg2_som	99cdef	153	205	239	新生代 古第三紀 始新世 ルテシアン期〜プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	堆積岩	Sedimentary rocks	海成層 泥岩	marine mudstone
