# 20万分の1日本シームレス地質図V2
"RGB","comment"
"067100","[Tr22-J31_mpyma_hlb] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 苦鉄質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"07406c","[Tr22-J31_mrga_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 変成斑れい岩 高P/T型広域変成岩　ざくろ石帯"
"076e9c","[K122-Pg12_msmpe_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"076e9d","[K122-Pg12_msgpe_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"077100","[D3-P1_mpyma_hlb] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"0790ff","[K21_sol] 中生代 後期白亜紀 セノマニアン期〜サントニアン期, 海成層 石灰岩"
"0823e1","[K122-Pg12_mrls_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 大理石 高P/T型広域変成岩　緑泥石帯"
"0824e1","[K112-121_mrls_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 大理石 高P/T型広域変成岩　緑泥石帯"
"0825e1","[Tr22-J31_mrls_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 大理石 高P/T型広域変成岩　緑泥石帯"
"0826e1","[D3-P1_mrls_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 大理石 高P/T型広域変成岩　緑泥石帯"
"0827e1","[Ca-O_mrls_hc] 古生代 カンブリア紀〜オルドビス紀, 大理石 高P/T型広域変成岩　緑泥石帯"
"0828e1","[K11-121_mrls_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 大理石 高P/T型広域変成岩　ローソン石青色片岩亜相"
